scaffold1,scaffold2,connections
6286,66893,3
1011,25069,4
2481,6258,2
1601,5607,7
5571,66334,2
38613,39496,2
29680,95808,22
1236,47025,5
1694,484,3
13423,7123,2
13011,96588,5
2623,56183,2
10763,93246,6
23533,9893,4
67482,80845,3
5433,74396,5
12,1219,29
125945,59681,2
17311,22430,2
1318,286,3
49112,74572,6
35963,85088,4
5699,7752,11
30543,53381,4
68841,942,35
71311,94112,2
33895,60468,5
37003,3851,2
31451,47643,3
1812,9023,4
1156,3768,2
18779,52183,6
44953,5101,2
129450,37662,2
14529,1855,18
1118,1201,129
374,3781,5
1922,96588,12
108026,37896,4
112834,18763,7
57895,7108,4
31560,31643,2
29406,41981,4
10508,60226,6
10614,4401,3
17657,470,10
21891,85103,3
41981,5269,3
3749,88303,180
108,1119,20
2191,48404,5
16319,8245,2
1670,21867,3
28104,3942,2
11240,52042,2
1431,99209,49
1778,7434,7
64249,832,3
15559,22777,2
1648,3857,10
61018,94097,9
121982,8464,2
110165,70384,3
21150,76299,3
319,99209,112
2466,5982,3
26017,3877,4
3981,7991,4
16753,1806,2
126773,33282,2
18947,45729,11
128198,40414,6
1726,312,2
19652,4278,2
49572,7525,2
116777,129450,3
11013,24447,2
1694,53692,173
15518,76382,3
11402,3305,9
1261,9890,9
39980,56781,2
18799,22494,2
3474,360,2
63444,7583,10
11043,121405,3
12131,3804,2
29347,41508,6
10435,185,107
308,321,66
111687,27592,3
133588,5023,3
131991,175,28
70385,93366,6
14787,8070,5
4818,62774,4
203,45,3
40957,8833,2
1348,69676,153
34904,69199,5
109676,7773,8
24593,63600,2
116777,25803,3
88309,89213,2
1512,3817,12
1291,52334,2
1047,3008,2
10958,13899,3
1553,61266,5
4363,9153,2
38470,6710,3
3387,45067,2
126131,59729,2
12549,21229,2
102567,50244,5
100709,3304,3
423,69577,24
111996,15769,3
17256,51596,2
41147,8786,2
55200,98693,3
1691,4842,3
32585,36216,4
166,52709,28
26467,67975,15
104977,56831,3
1219,401,8
45315,6209,2
310,76206,123
121981,76648,16
122932,23363,4
15424,7309,2
101389,33303,6
47643,90255,3
15692,1639,4
1195,23390,2
416,93,2
17530,96864,6
128593,58340,3
72463,85,18
80570,99886,2
76739,9998,5
474,5347,5
57434,74646,7
30136,32419,2
18745,3421,13
18158,36668,2
4714,73704,2
33834,9328,2
52081,70522,11
1719,26769,2
35934,53264,10
45207,45391,129
35734,63447,3
57948,99635,10
27347,36645,2
106988,8014,3
4581,4878,7
112822,29348,2
51494,94816,21
47167,98683,10
33780,60831,17
123568,42725,2
52080,5765,2
1278,47507,103
104075,7264,5
19638,76120,2
131786,2348,6
125538,20682,2
69676,908,96
129902,7666,2
626,69676,138
113009,18107,2
14493,2050,2
16071,3834,2
70760,7435,6
705,736,7
11155,22557,12
3346,68689,7
631,9244,4
1182,59131,6
18931,39624,2
70516,70678,2
29602,61613,7
13833,39437,2
10608,131356,7
41984,45248,3
4681,7195,2
5813,69577,11
10633,29485,2
15834,4450,2
13106,21749,14
13191,58229,2
3099,3685,2
23782,4672,4
124734,2615,7
1092,6597,4
14778,55058,2
843,968,2
10816,83895,6
13345,21152,6
71374,74259,6
14106,30764,2
119489,931,3
493,60333,30
1652,81236,3
57314,65369,5
108322,172,4
12536,16162,3
2497,5222,2
71547,85414,3
1729,48462,6
18537,18537,4
31842,6489,2
1149,5400,4
1371,472,2
7171,99084,2
1002,129,137
3305,383,12
44810,66821,2
104842,175,2
3287,96588,12
103612,120406,4
1642,1694,2
4222,928,2
11382,87636,15
57724,6121,4
11251,71374,3
14529,2779,3
33177,3906,7
1219,33404,34
9183,9711,2
121584,58860,3
106200,17163,11
131154,422,9
2386,494,21
3194,77915,4
3132,998,6
1872,4479,4
15837,23395,3
116966,22140,71
204,2425,2
274,43867,20
18387,658,3
105268,7098,2
19824,414,3
10958,7059,3
23756,86514,3
1592,76384,4
2858,75932,2
130720,49320,4
132228,49570,2
15850,22177,25
44699,44740,4
108023,1922,8
29818,8714,6
31970,5615,6
3165,6309,2
28637,49074,6
31604,426,16
62388,9955,2
42188,7273,2
176,310,116
40348,80002,4
47422,75335,2
10958,84667,17
102566,18387,122
24368,3229,2
146,79058,34
1002,6914,2
1771,2978,2
7046,97503,4
1876,2105,3
17336,40062,2
1881,6317,5
1118,53008,73
117704,99084,6
17935,87191,5
1944,20381,74
297,72935,16
102112,15713,11
10451,28480,2
12243,6620,2
133794,16729,2
25862,3733,7
1642,99209,25
11867,5338,2
12450,58735,4
28530,64012,2
10009,72562,14
1601,2110,12
10817,76740,3
35964,73455,4
1532,68536,4
29099,6854,3
14520,96588,12
34162,56781,16
109,74571,12
2676,8224,7
28454,41870,7
145,492,3
44699,90232,3
4075,4557,7
14162,16179,3
207,72935,11
39344,67975,6
2760,358,9
23653,3734,13
1356,33614,4
30243,68119,3
31621,8156,2
1369,72,15
127780,56781,2
102112,14524,5
3305,522,4
4104,51593,3
6843,95942,6
69076,69435,15
20251,64,5
13332,13750,7
1708,25696,2
111997,130720,4
14115,3866,2
1713,97373,6
1496,7257,2
20363,62709,2
22041,8803,2
3748,425,8
653,73704,2
14292,1825,9
114161,9150,5
15696,86966,4
14310,48978,4
4658,79340,3
105259,25155,10
19452,79545,2
1651,40234,3
15366,401,18
13860,1632,4
39948,5016,2
2682,3719,5
207,74571,10
42166,49945,6
27591,52288,6
12863,53846,10
26307,43209,3
23360,6125,2
13306,64310,2
186,2090,7
165,37530,3
29,374,2
107730,76299,122
10449,28313,3
53599,93861,2
15850,40,12
1237,1764,9
626,79526,9
1729,42856,6
1754,9126,3
84780,88873,3
17702,33155,2
131154,312,2
18685,37420,6
133344,740,23
85397,99210,7
100710,21717,4
39492,64007,4
3789,8121,2
110030,111195,2
17867,38444,2
107434,729,4
104075,1042,15
101271,52189,3
30003,998,8
4772,72372,3
11594,16059,2
1577,40055,2
15850,784,17
18,88070,4
2257,44456,2
103471,18595,2
106988,64134,11
4221,464,3
10494,97503,3
100444,72130,3
502,5468,3
30562,70981,4
121981,4717,4
26892,87523,3
55301,8003,3
32,72935,19
27100,854,3
1478,23471,4
1462,7565,2
4499,74571,29
15610,86055,2
19835,22339,2
3198,41901,4
36274,74170,2
127162,68315,3
12608,2019,2
35,67553,13
19663,3895,3
1034,119489,3
39521,46427,17
1826,96588,2
22913,6886,2
34181,75335,5
13498,86739,3
258,866,17
12844,26919,2
37977,52132,6
1019,45698,2
52876,80845,2
2658,28023,7
1114,3305,2
1478,3108,3
2851,88861,2
50674,52768,3
36700,9398,2
1007,14943,3
26910,8074,2
583,73704,8
43715,91665,4
49749,84780,2
120424,7006,2
20892,86965,2
4986,55298,3
162,80844,26
4259,63444,3
11353,4365,4
20079,21914,3
57322,78971,2
2018,74737,3
13905,29564,4
73278,90232,2
111523,12314,2
120233,67975,2
1201,268,62
39788,5436,6
10872,3275,4
245,8896,2
367,43900,56
4152,6545,2
24539,46269,4
129917,66818,22
4028,46723,2
44307,75674,3
17530,86740,5
26402,42659,3
13004,6424,2
12264,82275,2
4669,7387,2
1612,1649,2
488,8807,2
40620,67975,4
16275,2272,3
35336,62906,2
12160,6933,2
134904,29096,13
26141,78109,2
104387,63184,2
19291,40588,2
30639,62147,7
21589,37322,7
108939,49383,3
57198,88975,5
1104,41785,2
38581,96588,19
18972,66186,4
19614,63380,2
11875,34980,2
100161,25803,5
8147,84539,11
1435,5602,2
30316,34901,5
154,490,2
44179,91170,3
1028,241,5
58969,75676,2
1248,1723,2
62555,9540,34
1642,7689,3
15414,21719,2
56550,9803,4
178,20046,4
2841,5607,11
10768,111850,3
3950,94939,15
1810,1890,3
31311,53960,3
20565,3399,2
1355,5724,2
5211,9195,4
13084,39569,4
110669,71628,2
27737,33860,7
38650,91915,3
15115,1901,2
127982,32191,3
28820,41084,2
130112,18416,16
23615,51380,2
6534,77711,19
2588,51461,2
2934,6726,6
3120,36184,2
130111,97896,17
20497,6684,4
2040,2386,2
1396,64249,5
23143,889,2
30797,83711,2
2669,3771,5
100846,59554,8
13554,32988,47
1997,6815,3
101127,65152,2
13833,3849,3
2733,4076,2
